time	Pressure	Temperature
0	7350	55
120	7300	56
300	7350	480
480	7350	793
600	7550	867
720	7650	895
780	7750	911
840	7800	926
1020	7850	958
1140	7900	972
1260	7900	984
1380	7900	997
1620	7900	1017
1800	7850	1026
1920	7850	1033
2040	7850	1040
2160	7850	1046
2340	7800	1051
2460	7750	1054
3000	7650	1064
3420	7600	1068
3660	7550	1071
3900	7500	1073
4260	7450	1075
4500	7400	1077
4860	7400	1078
5220	7400	1079
5640	7350	1081
6180	7300	1087
7020	7200	1090
7920	7100	1092
8520	7050	1093
9060	7000	1095
9960	6900	1096
10260	7500	1097
10740	7500	1097
11580	7400	1097
