Time (seconds)	Pressure (Hiese)	Temperature (Celcius)
0	13600	32
120	13600	263
180	13400	559
240	13500	694
360	13750	799
420	14100	826
480	14300	880
540	14500	890
660	14600	903
720	14700	918
840	14800	947
1020	14800	970
1140	14800	983
1260	14800	996
1380	14800	1007
1560	14700	1017
1680	14650	1026
1800	14600	1032
1920	14500	1036
2100	14475	1036
2340	14375	1051
2580	14240	1055
2820	14200	1059
3000	14100	1062
3420	13900	1066
3720	13800	1068
4140	12650	1071
4320	14150	1072
4500	14700	1073
5100	14500	1075
5700	14300	1077
5940	15000	1078
6660	14775	1079
7380	14500	1082
7680	14400	1082
8100	14300	1083
8520	14150	1084
8640	14500	1084
9300	14300	1084
9540	14200	1084
9600	14800	1084
10140	14650	1084
10500	14550	1084
11280	14300	1084
11340	14400	1085
11820	14300	1085
11880	14500	1086
12060	14400	1086
